"YEAR","DISTCOUNTY","TOTEXP.COUNTY","TOTREV.COUNTY","TCHR.SAL.COUNTY","TCHR.NUM.COUNTY","PUPIL.NUM.COUNTY","EXP.PER.PUPIL.COUNTY","REV.PER.PUPIL.COUNTY","TCHR_SA.PER.PUPIL.COUNTY","TCHR_SAL.AVG.COUNTY","PUPIL.PER.TCHR.COUNTY","subregion"
2011,"KEWEENAW",218327.023376238,237065.038668651,46384.1285637162,1,10.72,20366.3268074849,22114.27599521,4326.87766452576,46384.1285637162,10.72,"KEWEENAW"
2011,"LAKE",16703141.984397,16991022.4665334,1650425.96155958,30.17,552.16,30250.546914657,30771.9184050518,2989.03571711022,54704.2082054883,18.3016241299304,"LAKE"
2011,"LAPEER",117497696.707082,115637946.806676,35620946.9012458,594.5,13726.38,8559.99154235,8424.50426162438,2595.07218226844,59917.488479808,23.0889486963835,"LAPEER"
2011,"LEELANAU",26482344.916316,26927020.5029508,6962427.30956621,125.24,2214.51,11958.5573857494,12159.358279236,3144.00355363769,55592.6805299123,17.6821303098052,"LEELANAU"
2011,"LENAWEE",145483126.013313,147141725.682517,44083178.2065294,736.04,16098.91,9036.83081732322,9139.85640534151,2738.27098893835,59892.3675432442,21.8723303081354,"LENAWEE"
2011,"LIVINGSTON",237625627.470124,243188218.94834,74685897.173291,1210.5,28756.14,8263.47442564,8456.91455627702,2597.21566153493,61698.3867602569,23.7555885997522,"LIVINGSTON"
2011,"LUCE",7883509.79117542,8010434.84135812,1949035.75155082,40.2,778.2,10130.4417774035,10293.5425871988,2504.5434998083,48483.4764067368,19.3582089552239,"LUCE"
2011,"MACKINAC",15367645.7212978,15922468.4199011,4090899.74628549,84.22,1469.28,10459.3036870425,10836.9190487185,2784.28873072899,48573.9699155247,17.4457373545476,"MACKINAC"
2011,"MACOMB",1306392776.00055,1311387454.34316,392825825.350545,5432.71,138637.44,9423.08784698091,9459.11475531548,2833.4757577069,72307.5270630211,25.5190208938081,"MACOMB"
2011,"MANISTEE",28934253.5389514,29852021.9729968,8680533.22347241,149.8,3196.27,9052.5060582965,9339.64338838608,2715.83227432989,57947.4848028866,21.3369158878505,"MANISTEE"
2011,"MARQUETTE",77703966.9313688,78153777.3276816,20779267.2210252,397.17,8332.37,9325.55406581426,9379.53755386301,2493.80034984347,52318.3201677499,20.979353929048,"MARQUETTE"
2011,"MASON",39168890.1849347,38358903.2561001,11132470.4418016,196.25,4220.15,9281.39762447655,9089.46441621746,2637.93240567317,56725.964034658,21.503949044586,"MASON"
2011,"MECOSTA",55262528.6628609,55313639.0897369,14583361.2737245,288.27,6297.66,8775.08926535585,8783.20504595944,2315.67935927384,50589.2436733773,21.8463940056197,"MECOSTA"
2011,"MENOMINEE",30319758.7858937,30090140.3813681,8869740.33594047,172.62,3344.53,9065.47669953438,8996.82179001777,2652.01398580383,51383.0398328147,19.375101378751,"MENOMINEE"
2011,"MIDLAND",121675127.318027,126635860.923486,37924234.9716682,569.99,13144.28,9256.88796328344,9634.29422710764,2885.22726019745,66534.9128435028,23.0605449218407,"MIDLAND"
2011,"MISSAUKEE",19252370.8406802,19157334.904326,5910154.67406864,101.53,2235.82,8610.8769224178,8568.37084574162,2643.39467133698,58210.9196697394,22.0212745001477,"MISSAUKEE"
2011,"MONROE",206174943.796368,210229947.215537,57262895.3944808,986.76,22890.83,9006.87933973421,9184.02466033502,2501.5648359837,58031.2288646488,23.1979711378653,"MONROE"
2011,"MONTCALM",106667079.80424,107735943.630771,29182130.283814,520.38,12143.41,8783.94782060725,8871.96789293711,2403.12484580641,56078.5008720819,23.3356585572082,"MONTCALM"
2011,"MONTMORENCY",7927661.25751688,7893575.31258278,1900703.66600556,38.09,833.14,9515.40108207129,9474.48845642122,2281.37367789994,49900.3325283685,21.8729325282226,"MONTMORENCY"
2011,"MUSKEGON",294838922.361598,290128311.962427,75437671.5734234,1301.48,30063.49,9807.2087559228,9650.52001488937,2509.2785825406,57962.9894992035,23.0994636874942,"MUSKEGON"
2011,"NEWAYGO",75881758.8316427,76156300.7251849,22418130.7936338,362.28,8959.13,8469.76869759036,8500.41250938259,2502.26649168321,61880.6745987464,24.7298498399028,"NEWAYGO"
2011,"OAKLAND",2133486385.79098,2164030468.19866,574463974.411303,8646.89,198439.48,10751.3201797897,10905.2415789371,2894.90767871042,66435.9063676424,22.9492314577842,"OAKLAND"
2011,"OCEANA",34551999.933498,34442404.1587184,8823175.06739446,157.43,3394.27,10179.5083872226,10147.2199202534,2599.4322983718,56045.0680772055,21.5605030807343,"OCEANA"
2011,"OGEMAW",21394339.7948405,21328239.6986081,5269264.38139885,95.78,2271.55,9418.38823483548,9389.28911915127,2319.67792097856,55014.2449509173,23.7163290874922,"OGEMAW"
2011,"ONTONAGON",7111832.69654639,7426082.5807238,1867355.93773414,35.36,708.07,10043.968388078,10487.7802769836,2637.2476418068,52809.8398680471,20.0246040723982,"ONTONAGON"
2011,"OSCEOLA",40552237.9427475,39807047.6960322,11577613.5120605,197.43,4318.17,9391.07027809175,9218.49943286907,2681.13888801517,58641.6122780757,21.8719039659626,"OSCEOLA"
2011,"OSCODA",9334064.45121809,9680099.33443986,2574963.27109858,44.21,977.03,9553.50854243789,9907.6787145122,2635.50072269898,58243.9102261611,22.0997511875141,"OSCODA"
2011,"OTSEGO",37044721.8771876,37198442.4256022,11405178.2319646,192.13,4120.96,8989.34274469725,9026.64486566291,2767.60226548295,59361.7770882455,21.4488107010878,"OTSEGO"
2011,"OTTAWA",415572840.958463,419287083.56817,119008270.024273,1934.75,44357.37,9368.74393045538,9452.47843973099,2682.94242928003,61510.929073148,22.9266675281044,"OTTAWA"
